,district,size,floor,registration,heating,rooms,parking,balcony,state,price
1,Novi Beograd Blok 25 (Arena),81.0,7.0,True,Centralno,3.0,True,True,Standardna gradnja,177000
2,Novi Beograd Blok 11c (Stari Merkator),113.0,4.0,True,Centralno,4.0,False,True,Standardna gradnja,219000
3,Mali mokri lug,55.0,3.0,True,Ostalo,2.0,True,True,Standardna gradnja,69000
4,Savski venac,112.0,4.0,True,Centralno,4.0,False,False,Standardna gradnja,169000
5,Vidikovac,41.0,3.0,True,Ostalo,1.0,False,True,Standardna gradnja,47000
6,Vračar (Centar),114.0,1.0,True,Ostalo,4.0,False,True,Standardna gradnja,298500
7,Crveni krst,76.0,2.0,True,Ostalo,3.0,True,True,Novogradnja,149000
8,Retenzija,67.0,5.0,False,"Klima, Centralno",2.0,True,True,Standardna gradnja,121400
9,Konjarnik,91.0,5.0,True,Centralno,3.0,True,False,Standardna gradnja,155000
10,Šumice,77.0,17.0,True,Centralno,3.0,True,True,Standardna gradnja,120000
11,Voždovac,73.0,0.0,True,"Podno, Ostalo",3.0,True,True,Novogradnja,153300
12,Voždovac,117.0,1.0,True,"Podno, Ostalo",5.0,True,True,Novogradnja,245700
13,Voždovac,50.0,3.0,True,Podno,2.0,True,False,Novogradnja,105000
14,Voždovac,63.0,3.0,True,Podno,3.0,True,True,Novogradnja,132300
15,Voždovac,74.0,2.0,True,Podno,3.0,True,True,Novogradnja,155400
16,Voždovac,89.0,0.0,True,Podno,4.0,True,True,Novogradnja,213600
17,Voždovac,294.0,5.0,True,"Podno, Ostalo",5.0,True,True,Novogradnja,495000
61,Novi Beograd Blok 34 (Studentski grad),86.0,5.0,True,Centralno,3.0,False,True,Standardna gradnja,189000
62,Lion,152.0,7.0,True,Centralno,4.0,True,True,Standardna gradnja,310000
63,Centar (uži),35.0,11.0,True,Centralno,1.0,False,False,Standardna gradnja,97000
64,Dušanovac,70.0,1.0,False,Ostalo,3.0,False,True,Novogradnja,110000
65,Banjica,110.0,2.0,True,Ostalo,4.0,True,False,Standardna gradnja,115000
66,Novi Beograd Blok 25 (Arena),73.0,4.0,True,Centralno,2.0,True,True,Standardna gradnja,149900
67,Banovo brdo,49.0,1.0,True,Centralno,2.0,True,True,Standardna gradnja,85000
68,Botanička bašta,69.0,1.0,True,Centralno,2.0,True,True,Standardna gradnja,149000
69,Botanička bašta,105.0,4.0,True,Ostalo,3.0,False,True,Standardna gradnja,225000
71,Zemun (Gornji grad),83.0,2.0,True,Ostalo,3.0,True,True,Novogradnja,116800
72,Južni bulevar,104.0,4.0,True,Centralno,4.0,False,True,Novogradnja,197600
74,Savski venac,107.0,3.0,True,"Klima, Ostalo",3.0,False,True,Standardna gradnja,213000
75,Braće Jerković,69.0,5.0,True,Ostalo,2.0,True,True,Standardna gradnja,85900
76,Savski venac,99.0,1.0,True,Centralno,4.0,False,True,Standardna gradnja,240000
77,Đeram pijaca,30.0,3.0,True,Ostalo,1.0,False,False,Standardna gradnja,65000
78,Tašmajdan,114.0,3.0,True,Ostalo,4.0,False,True,Standardna gradnja,247000
79,Zemun (Centar),71.0,2.0,True,Ostalo,2.0,True,True,Standardna gradnja,128900
80,Lekino brdo,260.0,3.0,True,Ostalo,5.0,True,True,Novogradnja,400000
107,Dedinje (Beli dvor),207.0,3.0,True,"Etažno, Kamin, Klima",5.0,True,True,Novogradnja,438000
129,Lion,51.0,0.0,True,Centralno,2.0,False,False,Novogradnja,108000
131,Novi Beograd Blok 64,78.0,5.0,True,Centralno,3.0,True,True,Izvorno stanje,124900
133,Južni bulevar,62.0,9.0,True,Centralno,2.0,True,True,Izvorno stanje,105000
136,Tadije Sondermajera,101.0,5.0,False,Centralno,4.0,True,True,Novogradnja,285000
137,Banjica,53.0,5.0,False,Centralno,2.0,True,True,Novogradnja,103818
181,Južni bulevar,90.0,4.0,False,Etažno,4.0,False,True,Novogradnja,180000
182,Južni bulevar,43.0,3.0,False,"Etažno, Klima",2.0,True,True,U izgradnji,86000
184,Dedinje (Beli dvor),183.0,3.0,True,"Klima, Ostalo",5.0,True,True,Novogradnja,380000
185,Dedinje (Beli dvor),140.0,3.0,True,"Etažno, Klima",5.0,False,True,Novogradnja,272000
186,Ledine,32.0,1.0,True,Ostalo,1.0,True,True,Novogradnja,44700
187,Banjica,74.0,0.0,False,Etažno,3.0,True,True,Novogradnja,135000
190,Resnik,71.0,4.0,False,Centralno,3.0,False,True,Standardna gradnja,67000
242,Novi Beograd Blok 72,89.0,7.0,True,Centralno,4.0,False,True,Standardna gradnja,143000
243,Labudovo brdo,90.0,2.0,True,Centralno,4.0,True,True,Izvorno stanje,123000
244,Centar (uži),97.0,2.0,True,Ostalo,4.0,False,True,Izvorno stanje,199000
